feature,mi_vs_target
ls_num_lastyr,0.04106482725917293
income_quintile_adm1,0.038128771525077765
chirps_rain_90d_mm,0.03261158117701468
ls_proddif_lackoflabour,0.031937565343474805
shock_violenceinsecconf,0.028743230365931627
crp_salesdif,0.027795778687035755
shock_economic_count,0.02730042740951122
income_sec_comp,0.026056282050243684
tot_income,0.025438753071090003
ls_salesdif_lowprices,0.024991372642318543
income_main_amount,0.024169278071198175
ls_salesdif,0.022367572060442154
shock_drought,0.021731807990394092
crp_saledif_dif_processing,0.020490572611019386
crp_irrigation,0.020381620136651124
crp_proddif_namachinery,0.020071890611769838
hh_agricactivity,0.018824440219713523
crp_saledif_lowprice,0.01795598777236118
crp_seed_market,0.017625773043577597
hh_wealth_toilet,0.01658290648944316
shock_hurricane,0.016402193288738154
shock_otherintrahhshock,0.016201515029409475
income_source_count,0.01567991243824496
crp_area_change,0.01563619090966517
shock_count,0.015543384337957766
hh_age,0.015370326892631292
ls_food_supply_purchased,0.014906593384643063
ls_proddif_difaccessvetserv,0.014605277624732294
modis_ndvi_90d_std,0.014555504996430102
ls_num_now,0.013973047888974133
income_primary_share,0.013908025120893841
ls_proddif_pooraccesstolmarket,0.01385931331769874
ls_proddif_noaccesstocredit,0.013843907185960402
crp_saledif_marketing_cost,0.013626660272826108
need_fishequiorothersuppforfish,0.013598406874360647
shock_plantdisease,0.013371399610824009
crp_proddif_seedquality,0.013350516104202015
covid_processclosed,0.013210084245619091
hh_size,0.012856076326565047
ls_proddif_constaccesstopasture,0.012516674113030923
crp_proddif_naplot,0.012246611638211613
need_animalsalemingarantdprice,0.012071832409483951
ls_num_inc_purchbarterdmore,0.011910173768423515
crp_landsize,0.011782912359933784
hh_education,0.0117710153424051
hh_residencetype,0.011361453095743324
shock_othermanmadehazard,0.011271000147704102
shock_higherfoodprices,0.011166513353333851
hh_gender,0.011107004797705988
ls_proddif_difaccessvetinp,0.01093719371687607
need_accesstoland,0.010760387251715464
need_landrehabilitation,0.010720729553043373
covid_gatherings,0.010403009669582852
crp_saledif_lowdemand,0.009978982954143456
crp_main,0.009939187015460815
hh_wealth_water,0.009468881216244007
crp_seed_company,0.009067494877003979
shock_flood,0.00853064986447749
crp_saledif_damagelosses,0.008507612509990992
crp_proddif_plantdisease,0.008343688600026544
shock_napasture,0.008102257248008726
ls_salesdif_smallerprofits,0.007793200980577453
need_seeds,0.00770632716223596
crp_proddif_nafertilizer,0.007312715826693017
ls_num_dec_soldmoregoodprice,0.007163249362030832
covid_marketclosed,0.007032657936016928
covid_disruption_count,0.006879243194942042
need_supportforprocessprod,0.006215622731438941
chirps_rain_30d_mm,0.005018062424943848
resp_age,0.00496654019370224
covid_goodstransp,0.004845060880749541
need_accesstoirrigationwater,0.0048013021968946745
shock_cantworkordobusiness,0.004406483720966747
income_main,0.004326190293015619
crp_harv_change,0.0042791699458821775
need_veterinaryservices,0.004233775765341452
crp_proddif_irrigation,0.004119951553557044
need_pesticides,0.004028177836782332
shock_othercropandlivests,0.003978271228171959
need_storageequipmentorfaci,0.0031515407172435506
crp_proddif_lostordamaged,0.0028270055232413327
ls_food_supply_openpasture,0.0026574874857785424
shock_coldtemporhail,0.002060079451274177
hh_wealth_light,0.0017176532551814727
ls_proddif_constaccesstowater,0.0010879924789368722
crp_proddif,0.0008404892893123517
resp_gender,0.0006198280180038651
need_marketingsupport,0.0006096126770007704
need_tools,3.412813794567704e-05
income_third_comp,0.0
income_main_comp,0.0
income_sec,0.0
income_sec_amount,0.0
hh_maritalstat,0.0
income_third_amount,0.0
income_third,0.0
covid_borderclosed,0.0
shock_lostemplorwork,0.0
shock_sicknessordeathofhh,0.0
shock_noshock,0.0
covid_none,0.0
covid_stayhome,0.0
ls_num_dec_killedorgaveanml,0.0
ls_num_dec_soldmoredistsale,0.0
ls_num_dec_anmlescloststolen,0.0
crp_salesprice,0.0
ls_main,0.0
ls_num_diff,0.0
ls_num_dec_animalsdied,0.0
ls_num_inc_receivedfree,0.0
ls_num_nochange,0.0
ls_num_inc_didnotsellasmany,0.0
ls_num_inc_moreborn,0.0
shock_theftofprodassets,0.0
shock_othernathazard,0.0
shock_pestoutbreak,0.0
shock_fire,0.0
crp_seed_ownprod,0.0
shock_higherfuelprices,0.0
shock_othereconomicshock,0.0
shock_animaldisease,0.0
crp_seed_freedist,0.0
crp_seed_gov,0.0
crp_seed_bank,0.0
crp_proddif_naseeds,0.0
crp_proddif_nafuelorelect,0.0
crp_proddif_nalabour,0.0
crp_proddif_nainsecticides,0.0
crp_proddif_soilerosion,0.0
need_animalfeed,0.0
need_fertilizers,0.0
ls_salesdif_damageandlosses,0.0
ls_salesdif_lowdemand,0.0
ls_salesdif_slaughterhouse,0.0
ls_salesdif_processing,0.0
ls_salesprice,0.0
need,0.0
ls_proddif_diffeedpurchase,0.0
ls_food_supply_commonpasture,0.0
ls_food_supply_fieldselfprodfod,0.0
ls_proddif,0.0
ls_proddif_theftorinsecurity,0.0
ls_proddif_diseases,0.0
ls_salesmain,0.0
need_veterinaryinputs,0.0
shock_climate_count,0.0
need_infoonsafetymeasures,0.0
need_loans,0.0
need_techsupporextensionserv,0.0
need_restockinganimals,0.0
need_supptransofanimalsorprod,0.0
need_acstomechanisedequipprod,0.0
need_cashassistance,0.0
ls_pct_change,0.0
shock_personal_count,0.0
shock_bio_count,0.0
crp_proddif_count,0.0
needs_expressed_count,0.0
crp_salesdif_count,0.0
modis_ndvi_90d_mean,0.0
regional_yield_mean,0.0
